n_total_windows,n_warmup,n_reset,n_certified,certified_duty_cycle,design_on_fraction_all,design_on_fraction_certified,design_on_count,reset_count,number_of_blocks,mean_block_length,median_block_length,n_oracle_safe_certified,n_oracle_unsafe_certified,validity_rate,miscoverage_rate,miscoverage_count,false_safe_count,false_unsafe_count,FSR_unsafe,FSR_all,fraction_C_LCB_zero,median_C_LCB,p10_C_LCB,p90_C_LCB,abstention_fraction,n_boundary_near_certified,boundary_has_both,all_lcb_zero_on_boundary,n,TP,TN,FP,FN,false_safe_rate,false_unsafe_rate,precision_safe,recall_safe,specificity,balanced_accuracy,accuracy,dataset,availability_level,track_verdict
62,19,0,43,0.6935483870967742,0.6935483870967742,1.0,43,0,1,62.0,62.0,43,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.12383674976953518,0.08344497463818819,0.132068594112927,0.3064516129032258,0,False,False,43,43,0,0,0,0.0,0.0,1.0,1.0,,1.0,1.0,sensorscope,1.0,FORMAL_CERTIFICATE_USABLE
62,32,1,29,0.46774193548387094,0.45161290322580644,0.9655172413793104,28,1,2,31.0,31.0,29,0,0.9655172413793104,0.03448275862068961,1,0,1,0.0,0.0,0.0,0.09282787574348145,0.054088676087119064,0.10037912139839264,0.532258064516129,0,False,False,29,28,0,0,1,0.0,0.034482758620689655,1.0,0.9655172413793104,,0.9655172413793104,0.9655172413793104,sensorscope,0.8,FORMAL_CERTIFICATE_USABLE
62,37,1,24,0.3870967741935484,0.3064516129032258,0.7916666666666666,19,1,2,31.0,31.0,24,0,0.9583333333333334,0.04166666666666663,1,0,5,0.0,0.0,0.0,0.06532394824329532,0.03628022462916351,0.07217117227818913,0.6129032258064516,0,False,False,24,19,0,0,5,0.0,0.20833333333333334,1.0,0.7916666666666666,,0.7916666666666666,0.7916666666666666,sensorscope,0.6,FORMAL_CERTIFICATE_USABLE
62,37,1,24,0.3870967741935484,0.0,0.0,0,1,2,31.0,31.0,19,5,0.9583333333333334,0.04166666666666663,1,0,19,0.0,0.0,0.0,0.04058442762283008,0.024537338286688637,0.04548806770794618,0.6129032258064516,11,True,False,24,0,5,0,19,0.0,1.0,,0.0,1.0,0.5,0.20833333333333334,sensorscope,0.4,SAFE_BUT_CONSERVATIVE
62,37,1,24,0.3870967741935484,0.0,0.0,0,1,2,31.0,31.0,0,24,0.9583333333333334,0.04166666666666663,1,0,0,0.0,0.0,0.0,0.016626677297767196,0.0076202008511962495,0.020097496722395993,0.6129032258064516,1,False,False,24,0,24,0,0,0.0,0.0,,,1.0,1.0,1.0,sensorscope,0.2,SAFE_BUT_CONSERVATIVE
53,43,2,8,0.1509433962264151,0.1509433962264151,1.0,8,2,3,17.666666666666668,22.0,8,0,0.75,0.25,2,0,0,0.0,0.0,0.0,0.18201605004644705,0.17912336434957235,0.22198473693421963,0.8490566037735849,0,False,False,8,8,0,0,0,0.0,0.0,1.0,1.0,,1.0,1.0,uair,1.0,SAFETY_NOT_ESTABLISHED
53,40,2,11,0.20754716981132076,0.20754716981132076,1.0,11,2,3,17.666666666666668,22.0,11,0,0.8181818181818182,0.18181818181818177,2,0,0,0.0,0.0,0.0,0.12914923234386513,0.12776147827796275,0.15361935294665108,0.7924528301886793,0,False,False,11,11,0,0,0,0.0,0.0,1.0,1.0,,1.0,1.0,uair,0.8,SAFETY_NOT_ESTABLISHED
53,37,1,15,0.2830188679245283,0.24528301886792453,0.8666666666666667,13,1,2,26.5,26.5,13,2,0.9333333333333333,0.06666666666666665,1,0,0,0.0,0.0,0.13333333333333333,0.09349964943569183,0.036438858646485564,0.11443179335317569,0.7169811320754716,0,False,False,15,13,2,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,uair,0.6,SAFETY_NOT_ESTABLISHED
53,21,1,31,0.5849056603773585,0.33962264150943394,0.5806451612903226,18,1,2,26.5,26.5,31,0,0.967741935483871,0.032258064516129004,1,0,13,0.0,0.0,0.0,0.05069476735581706,0.04606070988398918,0.05472142475029362,0.41509433962264153,3,False,False,31,18,0,0,13,0.0,0.41935483870967744,1.0,0.5806451612903226,,0.5806451612903226,0.5806451612903226,uair,0.4,SAFE_BUT_CONSERVATIVE
53,19,0,34,0.6415094339622641,0.0,0.0,0,0,1,53.0,53.0,10,24,1.0,0.0,0,0,10,0.0,0.0,0.058823529411764705,0.012791163884871757,0.010139415710003496,0.01704009099037347,0.3584905660377358,11,True,False,34,0,24,0,10,0.0,1.0,,0.0,1.0,0.5,0.7058823529411765,uair,0.2,SAFE_BUT_CONSERVATIVE
