round,dataset,scenario,seed,EventTrace_hash,source_path,size,shared_by_methods,copied_into_package,notes
E2,NSW-Traffic,balanced,30001,f6a41b229a7eb29d5ca933c6853a8c9346a1550cea54364071ea277b1f7140e2,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/balanced,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,opportunity_only,30001,c2d5f9df427aec3aed89f897f1e98875bc8ddfef5ebf0c23e6059fafc5f1c4fb,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/opportunity_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,observation_only,30001,eac376a29fb2d8dcff4f4b8ee0d140cd9c89ab1bf47528c17442ada2331344f3,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/observation_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,usable_only,30001,e51c5ef24a5bb18dff5fcea9ab3650b80e9fd733935b06a6304d673da1e8403d,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/usable_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,complete_aligned,30001,f4ae137ab49672673236440cb2f6484a52318474377df47af83812caa5eb1f7e,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/complete_aligned,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,complete_counteracting,30001,73fb81565547a41a724afe252a3e86ebedc6c4db9e123ff3bb5c9eb559427a89,artifacts/e2_traffic_formal_runs_r1/eventtraces/30001/complete_counteracting,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,balanced,30002,a69db6caccd3937f52a022d0bad2348b17b34977e09d64f6d556dabfcb9fead3,artifacts/e2_traffic_formal_runs_r1/eventtraces/30002/balanced,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,opportunity_only,30002,3677c15b42211dcf0c3f77ae2957991318d0a1b47150568ba9d90aeb9b2b396e,artifacts/e2_traffic_formal_runs_r1/eventtraces/30002/opportunity_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,observation_only,30002,56a918f7d2dea193d48bd337f39c8b2777278781e4543ef1f2407d88238e9bb8,artifacts/e2_traffic_formal_runs_r1/eventtraces/30002/observation_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
E2,NSW-Traffic,usable_only,30002,b492a09832528c2b0427ae2c436ea8227e872db97a0864eba41cdd41ec58be5c,artifacts/e2_traffic_formal_runs_r1/eventtraces/30002/usable_only,,True,False,hash-indexed; bulky EventTrace files not duplicated into CORE
