dataset,availability_level,n_total_windows,n_warmup,n_reset,n_certified,certified_duty_cycle,design_on_fraction_all,validity_rate,FSR_unsafe,reset_count,median_C_LCB
sensorscope,1.0,62,19,0,43,0.6935483870967742,0.6935483870967742,1.0,0.0,0,0.1238367497695351
sensorscope,0.8,62,32,1,29,0.4677419354838709,0.4516129032258064,0.9655172413793104,0.0,1,0.0928278757434814
sensorscope,0.6,62,37,1,24,0.3870967741935484,0.3064516129032258,0.9583333333333334,0.0,1,0.0653239482432953
sensorscope,0.4,62,37,1,24,0.3870967741935484,0.0,0.9583333333333334,0.0,1,0.04058442762283
sensorscope,0.2,62,37,1,24,0.3870967741935484,0.0,0.9583333333333334,0.0,1,0.0166266772977671
uair,1.0,53,43,2,8,0.1509433962264151,0.1509433962264151,0.75,0.0,2,0.182016050046447
uair,0.8,53,40,2,11,0.2075471698113207,0.2075471698113207,0.8181818181818182,0.0,2,0.1291492323438651
uair,0.6,53,37,1,15,0.2830188679245283,0.2452830188679245,0.9333333333333332,0.0,1,0.0934996494356918
uair,0.4,53,21,1,31,0.5849056603773585,0.3396226415094339,0.967741935483871,0.0,1,0.050694767355817
uair,0.2,53,19,0,34,0.6415094339622641,0.0,1.0,0.0,0,0.0127911638848717
