method,seed,D_aligned,sign_D,Delta_mu_aligned,Delta_rho_aligned
FedAvg-Window,30001,-9.212738512953678e-05,-1,-0.0007800591086588,-0.0006879317235293
FedAvg-Window,30002,0.0263319907112231,1,0.0005697530631765,-0.0257622376480466
FedAvg-Window,30003,-0.0117180920751696,-1,0.0002993404977762,0.0120174325729458
FedAvg-Window,30004,-0.0218915527869527,-1,-0.00060001543871,0.0212915373482427
FedAvg-Window,30005,-0.0520719575872028,-1,0.000406492772047,0.0524784503592499
FedAvg-Window,30006,-0.0261028314561079,-1,0.0037997115759059,0.0299025430320138
FedAvg-Window,30007,-0.0007635356451856,-1,-6.333351030907153e-05,0.0007002021348765
FedAvg-Window,30008,-0.044943908736956,-1,-8.413082371094838e-05,0.0448597779132451
FedAvg-Window,30009,-0.0023056990812933,-1,0.0022269095135618,0.0045326085948551
FedAvg-Window,30010,-0.0362182866545721,-1,0.0009725061953091,0.0371907928498813
FedAvg-Window,30011,-0.0145748484417059,-1,0.0019941085560744,0.0165689569977803
FedAvg-Window,30012,-0.0220890922787148,-1,2.6775128588951706e-05,0.0221158674073037
FedAvg-Window,30013,-0.0028170925220976,-1,-0.0006739870151417,0.0021431055069558
FedAvg-Window,30014,-0.0364433154234256,-1,0.0012668393740375,0.0377101547974632
FedAvg-Window,30015,-0.030332477241644,-1,0.0011138824606158,0.0314463597022598
FedAvg-Window,30016,-0.0795395701234794,-1,0.0032179946460928,0.0827575647695723
FedAvg-Window,30017,0.0061090325208195,1,-0.0003579724614637,-0.0064670049822832
FedAvg-Window,30018,-0.0355041286411961,-1,0.0008043292973425,0.0363084579385386
FedAvg-Window,30019,-0.032588913363023,-1,0.0006485536938991,0.0332374670569222
FedAvg-Window,30020,-0.0053686077548484,-1,0.0005218227399292,0.0058904304947777
FedAsync-Window,30001,-6.883402341273381e-05,-1,-0.0007898569628266,-0.0007210229394138
FedAsync-Window,30002,0.0261648391708313,1,0.0005657494195034,-0.0255990897513278
FedAsync-Window,30003,-0.0116918318010148,-1,0.0003132853669673,0.0120051171679822
FedAsync-Window,30004,-0.0220480601172282,-1,-0.0005966343204959,0.0214514257967323
FedAsync-Window,30005,-0.0520429129852854,-1,0.0004178415891598,0.0524607545744452
FedAsync-Window,30006,-0.0260393580288059,-1,0.003755923891625,0.029795281920431
FedAsync-Window,30007,-0.0008450264605628,-1,-6.002070366206702e-05,0.0007850057569007
FedAsync-Window,30008,-0.0449658891443665,-1,-5.33391522530291e-05,0.0449125499921134
FedAsync-Window,30009,-0.0023261907435632,-1,0.0022840733041664,0.0046102640477296
FedAsync-Window,30010,-0.0362770657693133,-1,0.0010250663582134,0.0373021321275267
FedAsync-Window,30011,-0.0144314553825395,-1,0.0020361059534153,0.0164675613359548
FedAsync-Window,30012,-0.0220301699147204,-1,1.496883660156989e-05,0.0220451387513219
FedAsync-Window,30013,-0.0027299604919638,-1,-0.0006481126734582,0.0020818478185056
FedAsync-Window,30014,-0.0364819108261742,-1,0.0012611191883273,0.0377430300145016
FedAsync-Window,30015,-0.0303275872421926,-1,0.0010938369132311,0.0314214241554238
FedAsync-Window,30016,-0.0794750877832521,-1,0.0031063056671085,0.0825813934503607
FedAsync-Window,30017,0.005998790954885,1,-0.0003802505651659,-0.006379041520051
FedAsync-Window,30018,-0.0355086999664167,-1,0.0008137527953149,0.0363224527617316
FedAsync-Window,30019,-0.0326414077826924,-1,0.0005994949483136,0.0332409027310061
FedAsync-Window,30020,-0.00532143476096,-1,0.0005355638065998,0.0058569985675598
TimeAlign-Agg,30001,0.0012412739526528,1,-0.0008145963237005,-0.0020558702763533
TimeAlign-Agg,30002,0.0285711565688469,1,0.000287868805014,-0.0282832877638328
TimeAlign-Agg,30003,-0.0115752214492059,-1,6.076988336078948e-05,0.0116359913325667
TimeAlign-Agg,30004,-0.0223903136439725,-1,-0.0010960443917988,0.0212942692521737
TimeAlign-Agg,30005,-0.052036113331279,-1,0.0003624124241732,0.0523985257554522
TimeAlign-Agg,30006,-0.0274695862546392,-1,0.0059493273031252,0.0334189135577644
TimeAlign-Agg,30007,-0.0017431288974407,-1,-6.67289847726682e-05,0.0016763999126681
TimeAlign-Agg,30008,-0.0453453473884644,-1,3.075728311929815e-05,0.0453761046715837
TimeAlign-Agg,30009,-0.0021520806231212,-1,0.0020626606245801,0.0042147412477013
TimeAlign-Agg,30010,-0.0359087665126025,-1,0.0009067828169468,0.0368155493295494
TimeAlign-Agg,30011,-0.0157230442276332,-1,0.0014807577823801,0.0172038020100133
TimeAlign-Agg,30012,-0.0221187637872278,-1,-3.975908581210774e-05,0.0220790047014157
TimeAlign-Agg,30013,-0.0048057375575867,-1,-0.0009591442320804,0.0038465933255062
TimeAlign-Agg,30014,-0.0369144314138276,-1,0.001865747411291,0.0387801788251187
TimeAlign-Agg,30015,-0.0298743341974982,-1,0.0012430479554859,0.0311173821529842
TimeAlign-Agg,30016,-0.0794602020857584,-1,0.0031666415653293,0.0826268436510877
TimeAlign-Agg,30017,0.0057486003120905,1,-0.0008768782777743,-0.0066254785898649
TimeAlign-Agg,30018,-0.03546046102579,-1,0.0003601404558872,0.0358206014816773
TimeAlign-Agg,30019,-0.0323112259338147,-1,0.0006314563919962,0.0329426823258109
TimeAlign-Agg,30020,-0.0077369338432193,-1,0.0005787791783422,0.0083157130215616
TwoStage-Hajek,30001,0.0009745326152943,1,-0.0004718698927006,-0.0014464025079949
TwoStage-Hajek,30002,0.0271876334046321,1,0.000565154823588,-0.026622478581044
