dataset,metric,family,comparison,p_raw,p_holm
sensorscope,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_twostage_hajek,0.13272666931152344,0.6636333465576172
sensorscope,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_flamf_timealign_adapted,0.24548721313476562,0.9819488525390625
sensorscope,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedasync_window,0.4523754119873047,1.0
sensorscope,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedavg_window,0.5705966949462891,1.0
sensorscope,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_local_hajek,0.5705966949462891,1.0
uair,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_twostage_hajek,1.9073486328125e-06,9.5367431640625e-06
uair,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedasync_window,0.34881019592285156,1.0
uair,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedavg_window,0.38837623596191406,1.0
uair,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_local_hajek,0.38837623596191406,1.0
uair,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_flamf_timealign_adapted,0.4304332733154297,1.0
traffic,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_local_hajek,9.5367431640625e-06,4.76837158203125e-05
traffic,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_flamf_timealign_adapted,0.0758514404296875,0.30340576171875
traffic,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_twostage_hajek,0.8694877624511719,1.0
traffic,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedasync_window,0.9272785186767578,1.0
traffic,RMSE_mu_phys,primary_RMSE_mu_main_baselines,raven_vs_fedavg_window,0.956329345703125,1.0
