holm_family,dataset,method,component,metric,p_raw,p_holm,holm_significant,mean_paired_diff
sensorscope::Delta_group,sensorscope,raven_wo_design,Design,Delta_group,1.9073486328125e-06,9.5367431640625e-06,True,0.012545145744105724
sensorscope::Delta_c_s,sensorscope,raven_wo_design,Design,Delta_c_s,1.9073486328125e-06,9.5367431640625e-06,True,0.007552676100960021
sensorscope::RMSE_mu,sensorscope,raven_wo_design,Design,RMSE_mu,0.5958194732666016,0.9047508239746094,False,0.00042032078006748463
sensorscope::Tail_RMSE,sensorscope,raven_wo_design,Design,Tail_RMSE,0.5958194732666016,0.9047508239746094,False,0.0004393570647795997
sensorscope::Delta_group,sensorscope,raven_wo_obs,Obs,Delta_group,0.01923370361328125,0.0384674072265625,True,0.0009767601572533923
sensorscope::Delta_c_s,sensorscope,raven_wo_obs,Obs,Delta_c_s,6.29425048828125e-05,0.000125885009765625,True,-0.0008882689369927643
sensorscope::RMSE_mu,sensorscope,raven_wo_obs,Obs,RMSE_mu,0.026641845703125,0.1065673828125,False,0.0009453979049329764
sensorscope::Tail_RMSE,sensorscope,raven_wo_obs,Obs,Tail_RMSE,0.026641845703125,0.1065673828125,False,0.0009616801441985068
sensorscope::Delta_group,sensorscope,raven_wo_use,Use,Delta_group,0.7011814117431641,0.7011814117431641,False,0.00026414124959380224
sensorscope::Delta_c_s,sensorscope,raven_wo_use,Use,Delta_c_s,0.34881019592285156,0.34881019592285156,False,0.00033040187239097296
sensorscope::RMSE_mu,sensorscope,raven_wo_use,Use,RMSE_mu,0.012079238891601562,0.06039619445800781,False,0.0009912367649365095
sensorscope::Tail_RMSE,sensorscope,raven_wo_use,Use,Tail_RMSE,0.012079238891601562,0.06039619445800781,False,0.0010078940557148642
sensorscope::Delta_group,sensorscope,raven_wo_inst,Inst,Delta_group,3.814697265625e-06,1.1444091796875e-05,True,0.02139020593187587
sensorscope::Delta_c_s,sensorscope,raven_wo_inst,Inst,Delta_c_s,1.9073486328125e-06,9.5367431640625e-06,True,0.026612628643994773
sensorscope::RMSE_mu,sensorscope,raven_wo_inst,Inst,RMSE_mu,0.13272666931152344,0.3981800079345703,False,-0.007126892742085822
sensorscope::Tail_RMSE,sensorscope,raven_wo_inst,Inst,Tail_RMSE,0.13272666931152344,0.3981800079345703,False,-0.007226722003833341
sensorscope::Delta_group,sensorscope,raven_wo_debt,Debt,Delta_group,1.9073486328125e-06,9.5367431640625e-06,True,0.00014270410565384584
sensorscope::Delta_c_s,sensorscope,raven_wo_debt,Debt,Delta_c_s,1.9073486328125e-06,9.5367431640625e-06,True,5.0872461271656014e-05
sensorscope::RMSE_mu,sensorscope,raven_wo_debt,Debt,RMSE_mu,0.4523754119873047,0.9047508239746094,False,1.7198904466830812e-06
sensorscope::Tail_RMSE,sensorscope,raven_wo_debt,Debt,Tail_RMSE,0.4523754119873047,0.9047508239746094,False,1.6052795229981599e-06
uair::Delta_group,uair,raven_wo_design,Design,Delta_group,1.9073486328125e-06,9.5367431640625e-06,True,-0.07584671374778382
uair::Delta_c_s,uair,raven_wo_design,Design,Delta_c_s,1.9073486328125e-06,9.5367431640625e-06,True,0.0615441131617234
uair::RMSE_mu,uair,raven_wo_design,Design,RMSE_mu,1.9073486328125e-06,9.5367431640625e-06,True,-0.0780548129305664
uair::Tail_RMSE,uair,raven_wo_design,Design,Tail_RMSE,1.9073486328125e-06,9.5367431640625e-06,True,-0.08249311792179445
uair::Delta_group,uair,raven_wo_obs,Obs,Delta_group,1.9073486328125e-05,5.7220458984375e-05,True,0.0013445097647822202
uair::Delta_c_s,uair,raven_wo_obs,Obs,Delta_c_s,0.03623390197753906,0.07246780395507812,False,0.00027132663877117437
uair::RMSE_mu,uair,raven_wo_obs,Obs,RMSE_mu,0.7011814117431641,1.0,False,-0.00011577187362324937
uair::Tail_RMSE,uair,raven_wo_obs,Obs,Tail_RMSE,0.6476554870605469,1.0,False,-0.0001227321545052562
uair::Delta_group,uair,raven_wo_use,Use,Delta_group,0.49800872802734375,0.49800872802734375,False,0.00015067957203213078
uair::Delta_c_s,uair,raven_wo_use,Use,Delta_c_s,0.24548721313476562,0.24548721313476562,False,-0.00016725395708978575
uair::RMSE_mu,uair,raven_wo_use,Use,RMSE_mu,0.2942523956298828,0.8827571868896484,False,0.00028555372849086157
uair::Tail_RMSE,uair,raven_wo_use,Use,Tail_RMSE,0.2942523956298828,0.8827571868896484,False,0.00030258522687218734
uair::Delta_group,uair,raven_wo_inst,Inst,Delta_group,2.6702880859375e-05,5.7220458984375e-05,True,0.027244547143196674
uair::Delta_c_s,uair,raven_wo_inst,Inst,Delta_c_s,0.01068878173828125,0.03206634521484375,True,0.007198136757452988
uair::RMSE_mu,uair,raven_wo_inst,Inst,RMSE_mu,1.9073486328125e-06,9.5367431640625e-06,True,0.024847278264065388
uair::Tail_RMSE,uair,raven_wo_inst,Inst,Tail_RMSE,1.9073486328125e-06,9.5367431640625e-06,True,0.02610948365472122
uair::Delta_group,uair,raven_wo_debt,Debt,Delta_group,1.9073486328125e-06,9.5367431640625e-06,True,4.70414207876968e-05
uair::Delta_c_s,uair,raven_wo_debt,Debt,Delta_c_s,9.5367431640625e-06,3.814697265625e-05,True,2.9473676549240933e-05
uair::RMSE_mu,uair,raven_wo_debt,Debt,RMSE_mu,0.7285060882568359,1.0,False,8.685504892624873e-06
uair::Tail_RMSE,uair,raven_wo_debt,Debt,Tail_RMSE,0.7285060882568359,1.0,False,9.301691211272e-06
