dataset,method,seed,comparison_class,RMSE_mu,Delta_group,Delta_c_s,paper_use
SensorScope,Central-All,30001,SCI_COMPARABLE_MAIN,7.631919857273092,,,main
SensorScope,Central-All,30002,SCI_COMPARABLE_MAIN,7.5290244450118005,,,main
SensorScope,Central-All,30003,SCI_COMPARABLE_MAIN,7.549580482432374,,,main
SensorScope,Central-All,30004,SCI_COMPARABLE_MAIN,7.634555803698478,,,main
SensorScope,Central-All,30005,SCI_COMPARABLE_MAIN,7.690686096983783,,,main
SensorScope,Central-All,30006,SCI_COMPARABLE_MAIN,7.706705270577585,,,main
SensorScope,Central-All,30007,SCI_COMPARABLE_MAIN,7.560508632009502,,,main
SensorScope,Central-All,30008,SCI_COMPARABLE_MAIN,7.577035853906441,,,main
SensorScope,Central-All,30009,SCI_COMPARABLE_MAIN,7.605651102217425,,,main
SensorScope,Central-All,30010,SCI_COMPARABLE_MAIN,7.673652923682784,,,main
SensorScope,Central-All,30011,SCI_COMPARABLE_MAIN,7.565249756015817,,,main
SensorScope,Central-All,30012,SCI_COMPARABLE_MAIN,7.574811899905716,,,main
SensorScope,Central-All,30013,SCI_COMPARABLE_MAIN,7.440270805237222,,,main
SensorScope,Central-All,30014,SCI_COMPARABLE_MAIN,7.6176223447909255,,,main
SensorScope,Central-All,30015,SCI_COMPARABLE_MAIN,7.53612786378913,,,main
SensorScope,Central-All,30016,SCI_COMPARABLE_MAIN,7.514691299464239,,,main
SensorScope,Central-All,30017,SCI_COMPARABLE_MAIN,7.6740925990822895,,,main
SensorScope,Central-All,30018,SCI_COMPARABLE_MAIN,7.685437166176604,,,main
SensorScope,Central-All,30019,SCI_COMPARABLE_MAIN,7.58688388845969,,,main
SensorScope,Central-All,30020,SCI_COMPARABLE_MAIN,7.652611460250528,,,main
SensorScope,Central-Delivered,30001,SCI_COMPARABLE_MAIN,7.971802306570611,,,main
SensorScope,Central-Delivered,30002,SCI_COMPARABLE_MAIN,7.942843757116565,,,main
SensorScope,Central-Delivered,30003,SCI_COMPARABLE_MAIN,7.914491273118262,,,main
SensorScope,Central-Delivered,30004,SCI_COMPARABLE_MAIN,7.9171183981707,,,main
SensorScope,Central-Delivered,30005,SCI_COMPARABLE_MAIN,8.016730027368233,,,main
SensorScope,Central-Delivered,30006,SCI_COMPARABLE_MAIN,7.793954227135963,,,main
SensorScope,Central-Delivered,30007,SCI_COMPARABLE_MAIN,8.029431295557153,,,main
SensorScope,Central-Delivered,30008,SCI_COMPARABLE_MAIN,7.9571402205797375,,,main
SensorScope,Central-Delivered,30009,SCI_COMPARABLE_MAIN,7.818176706484423,,,main
SensorScope,Central-Delivered,30010,SCI_COMPARABLE_MAIN,7.958601337075866,,,main
SensorScope,Central-Delivered,30011,SCI_COMPARABLE_MAIN,7.895973048419291,,,main
SensorScope,Central-Delivered,30012,SCI_COMPARABLE_MAIN,7.963194231097328,,,main
SensorScope,Central-Delivered,30013,SCI_COMPARABLE_MAIN,7.890352465836433,,,main
SensorScope,Central-Delivered,30014,SCI_COMPARABLE_MAIN,7.910023384516892,,,main
SensorScope,Central-Delivered,30015,SCI_COMPARABLE_MAIN,7.985637513527815,,,main
SensorScope,Central-Delivered,30016,SCI_COMPARABLE_MAIN,7.949169218503295,,,main
SensorScope,Central-Delivered,30017,SCI_COMPARABLE_MAIN,7.7781593659477855,,,main
SensorScope,Central-Delivered,30018,SCI_COMPARABLE_MAIN,7.881525116213301,,,main
SensorScope,Central-Delivered,30019,SCI_COMPARABLE_MAIN,7.923066436965731,,,main
SensorScope,Central-Delivered,30020,SCI_COMPARABLE_MAIN,8.08505137927125,,,main
SensorScope,Debt-Cal,30001,SCI_COMPARABLE_MAIN,7.915297744846339,1.0095427412964146,1.2254755277938303,main
SensorScope,Debt-Cal,30002,SCI_COMPARABLE_MAIN,7.868494928723746,1.0276971630050609,1.24721847698024,main
SensorScope,Debt-Cal,30003,SCI_COMPARABLE_MAIN,7.915956116525587,1.010410947606983,1.2371154151535024,main
SensorScope,Debt-Cal,30004,SCI_COMPARABLE_MAIN,7.830731093991368,1.053535912343852,1.2849634061880062,main
SensorScope,Debt-Cal,30005,SCI_COMPARABLE_MAIN,8.013777181554202,1.0352464247094566,1.286195605574399,main
SensorScope,Debt-Cal,30006,SCI_COMPARABLE_MAIN,7.914806210401019,1.0000909456994056,1.2475691990370466,main
SensorScope,Debt-Cal,30007,SCI_COMPARABLE_MAIN,7.998391477477126,1.0268656013670738,1.2438044627084583,main
SensorScope,Debt-Cal,30008,SCI_COMPARABLE_MAIN,7.946054935626687,0.9570082430595422,1.2382251236936743,main
SensorScope,Debt-Cal,30009,SCI_COMPARABLE_MAIN,7.900221953277217,1.024840767222981,1.2454149497468137,main
SensorScope,Debt-Cal,30010,SCI_COMPARABLE_MAIN,7.96456043249357,1.0519078608116939,1.330643077892975,main
SensorScope,Debt-Cal,30011,SCI_COMPARABLE_MAIN,7.948722471514547,1.0451357851806544,1.2938065254413025,main
SensorScope,Debt-Cal,30012,SCI_COMPARABLE_MAIN,7.886975430801029,1.0220891704365593,1.286085311905067,main
SensorScope,Debt-Cal,30013,SCI_COMPARABLE_MAIN,7.9821785383643515,1.0309777912020857,1.257719053373255,main
SensorScope,Debt-Cal,30014,SCI_COMPARABLE_MAIN,7.946777976103045,1.0466198986034125,1.2944476280348107,main
SensorScope,Debt-Cal,30015,SCI_COMPARABLE_MAIN,7.939142813744011,1.0207359305859511,1.2728094225568531,main
SensorScope,Debt-Cal,30016,SCI_COMPARABLE_MAIN,7.97873698486129,1.0018053568485268,1.288768570153958,main
SensorScope,Debt-Cal,30017,SCI_COMPARABLE_MAIN,7.989659523256059,1.032894658662477,1.2507354289191914,main
SensorScope,Debt-Cal,30018,SCI_COMPARABLE_MAIN,7.919663549105547,1.06297211809708,1.292092274187271,main
SensorScope,Debt-Cal,30019,SCI_COMPARABLE_MAIN,7.976403429895683,1.0000585946973317,1.267057831909916,main
SensorScope,Debt-Cal,30020,SCI_COMPARABLE_MAIN,7.961073907921165,1.084487998885435,1.329308920106167,main
SensorScope,FedAsync-Window,30001,SCI_COMPARABLE_MAIN,7.914987375753928,1.0433035593011954,1.2420794874277128,main
SensorScope,FedAsync-Window,30002,SCI_COMPARABLE_MAIN,7.875072256516806,1.0440164472062596,1.2659584399299082,main
SensorScope,FedAsync-Window,30003,SCI_COMPARABLE_MAIN,7.920228560548301,1.0514495727748754,1.2785698954324782,main
SensorScope,FedAsync-Window,30004,SCI_COMPARABLE_MAIN,7.828283781731355,1.0899071552569772,1.296646171122331,main
SensorScope,FedAsync-Window,30005,SCI_COMPARABLE_MAIN,8.009084064298781,1.0478669563284233,1.3080497593472642,main
SensorScope,FedAsync-Window,30006,SCI_COMPARABLE_MAIN,7.914756223561028,1.036976842463394,1.260226489789812,main
SensorScope,FedAsync-Window,30007,SCI_COMPARABLE_MAIN,7.990422253394001,1.0633340324292169,1.2651487959177365,main
SensorScope,FedAsync-Window,30008,SCI_COMPARABLE_MAIN,7.939971210751578,0.9852397136268024,1.25675159469899,main
SensorScope,FedAsync-Window,30009,SCI_COMPARABLE_MAIN,7.898148127028958,1.0343399148064936,1.2552236678179627,main
SensorScope,FedAsync-Window,30010,SCI_COMPARABLE_MAIN,7.958599699755578,1.07225974844612,1.3534199154426814,main
SensorScope,FedAsync-Window,30011,SCI_COMPARABLE_MAIN,7.942397880228304,1.0855996529796206,1.3204383662119974,main
SensorScope,FedAsync-Window,30012,SCI_COMPARABLE_MAIN,7.889176801401133,1.0345577490860136,1.2882836287135713,main
SensorScope,FedAsync-Window,30013,SCI_COMPARABLE_MAIN,7.987333649396839,1.0638544011966682,1.2891792545990888,main
SensorScope,FedAsync-Window,30014,SCI_COMPARABLE_MAIN,7.936057400942964,1.0793063750730119,1.3105411533509763,main
SensorScope,FedAsync-Window,30015,SCI_COMPARABLE_MAIN,7.938973891901094,1.0531705444314816,1.2859267860568988,main
SensorScope,FedAsync-Window,30016,SCI_COMPARABLE_MAIN,7.9789585338384885,1.034184311799751,1.3124048959852082,main
SensorScope,FedAsync-Window,30017,SCI_COMPARABLE_MAIN,7.999823392888205,1.0483341453211281,1.2721350247517575,main
SensorScope,FedAsync-Window,30018,SCI_COMPARABLE_MAIN,7.923934062683609,1.0988483893090726,1.3138071677215777,main
SensorScope,FedAsync-Window,30019,SCI_COMPARABLE_MAIN,7.978778827775458,1.0368186406237498,1.2846132808744706,main
SensorScope,FedAsync-Window,30020,SCI_COMPARABLE_MAIN,7.956649588000647,1.113461107109036,1.352349536061174,main
SensorScope,FedAvg-Window,30001,SCI_COMPARABLE_MAIN,7.914361980993586,1.0433329926179937,1.2422979138143753,main
SensorScope,FedAvg-Window,30002,SCI_COMPARABLE_MAIN,7.874722976466658,1.0423759073199488,1.2669848858624366,main
SensorScope,FedAvg-Window,30003,SCI_COMPARABLE_MAIN,7.918432839360214,1.0513745195898068,1.2781271187126726,main
SensorScope,FedAvg-Window,30004,SCI_COMPARABLE_MAIN,7.828085366096157,1.0893131373846656,1.2959504633592993,main
SensorScope,FedAvg-Window,30005,SCI_COMPARABLE_MAIN,8.009104445587706,1.0483361139897638,1.3071388392780583,main
SensorScope,FedAvg-Window,30006,SCI_COMPARABLE_MAIN,7.913759800938974,1.0366055669987118,1.2598999305652532,main
SensorScope,FedAvg-Window,30007,SCI_COMPARABLE_MAIN,7.991805174721638,1.064965321416934,1.2650939114648792,main
SensorScope,FedAvg-Window,30008,SCI_COMPARABLE_MAIN,7.93821685746566,0.9857842467918951,1.2567093568590075,main
SensorScope,FedAvg-Window,30009,SCI_COMPARABLE_MAIN,7.8977270526415,1.033722576235309,1.254444395446093,main
SensorScope,FedAvg-Window,30010,SCI_COMPARABLE_MAIN,7.960143636628071,1.0716073992571684,1.3531575695170164,main
SensorScope,FedAvg-Window,30011,SCI_COMPARABLE_MAIN,7.942042472328478,1.0849967061923578,1.3200732024715194,main
SensorScope,FedAvg-Window,30012,SCI_COMPARABLE_MAIN,7.889177600892373,1.034846157426802,1.2881076510108769,main
SensorScope,FedAvg-Window,30013,SCI_COMPARABLE_MAIN,7.987182829768198,1.063537512155023,1.2886576045562221,main
SensorScope,FedAvg-Window,30014,SCI_COMPARABLE_MAIN,7.936916494423676,1.0776157343762005,1.309539636753089,main
SensorScope,FedAvg-Window,30015,SCI_COMPARABLE_MAIN,7.938771535871757,1.0541024686185971,1.2857957454731648,main
SensorScope,FedAvg-Window,30016,SCI_COMPARABLE_MAIN,7.9786080448334875,1.0334462132849223,1.3119255849008766,main
SensorScope,FedAvg-Window,30017,SCI_COMPARABLE_MAIN,7.998586597463677,1.0483863209669657,1.2719677574516286,main
SensorScope,FedAvg-Window,30018,SCI_COMPARABLE_MAIN,7.925135637937268,1.099053523348939,1.3130832702479562,main
SensorScope,FedAvg-Window,30019,SCI_COMPARABLE_MAIN,7.9788604021904135,1.0369701721516233,1.2844177663734113,main
SensorScope,FedAvg-Window,30020,SCI_COMPARABLE_MAIN,7.956226309103518,1.1151179022825877,1.352990344874895,main
SensorScope,TimeAlign-Agg,30001,SCI_COMPARABLE_MAIN,7.914880089294206,1.0396486601009376,1.2398343259666835,main
SensorScope,TimeAlign-Agg,30002,SCI_COMPARABLE_MAIN,7.875861484856878,1.0436214871369573,1.2684945239092702,main
SensorScope,TimeAlign-Agg,30003,SCI_COMPARABLE_MAIN,7.922300512510099,1.0520110694199047,1.2811199553135035,main
SensorScope,TimeAlign-Agg,30004,SCI_COMPARABLE_MAIN,7.826949788805037,1.0911161049485028,1.2963929138105152,main
SensorScope,TimeAlign-Agg,30005,SCI_COMPARABLE_MAIN,8.00955586945474,1.0493277181222846,1.3078907189773061,main
SensorScope,TimeAlign-Agg,30006,SCI_COMPARABLE_MAIN,7.9145820332068135,1.0401003361184809,1.2607386751539975,main
SensorScope,TimeAlign-Agg,30007,SCI_COMPARABLE_MAIN,7.991214696136555,1.0636981857747982,1.2640206791416468,main
SensorScope,TimeAlign-Agg,30008,SCI_COMPARABLE_MAIN,7.940062903959316,0.9892043089748439,1.2569902790554601,main
SensorScope,TimeAlign-Agg,30009,SCI_COMPARABLE_MAIN,7.897109457901864,1.0325003123644882,1.254423816138587,main
SensorScope,TimeAlign-Agg,30010,SCI_COMPARABLE_MAIN,7.957538723965988,1.0677786882856002,1.3497038803490415,main
