dataset,method,n,RMSE_mu_mean,MAE_mu_mean,Tail_RMSE_mean,Delta_group_mean,Delta_c_s_mean,comparison_class
SensorScope,Central-All,20,7.60036,7.31286,8.10561,,,SCI_COMPARABLE_MAIN
SensorScope,Central-Delivered,20,7.92912,7.65072,8.44705,,,SCI_COMPARABLE_MAIN
SensorScope,Debt-Cal,20,7.93988,7.66053,8.46199,1.02725,1.27097,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,20,7.93908,7.65971,8.46116,1.05584,1.29059,SCI_COMPARABLE_MAIN
SensorScope,FedAvg-Window,20,7.93889,7.65951,8.46097,1.05577,1.29032,SCI_COMPARABLE_MAIN
SensorScope,Inst-Cal,20,7.93799,7.65858,8.46005,1.01409,1.26443,SCI_COMPARABLE_MAIN
SensorScope,Local-Hajek,20,7.93889,7.65951,8.46097,1.05577,1.29032,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-MCS,20,7.93799,7.65858,8.46005,1.01394,1.26438,SCI_COMPARABLE_MAIN
SensorScope,RAVEN-SimOracle,20,7.93735,7.65792,8.4594,1.01597,1.27088,SCI_COMPARABLE_MAIN
SensorScope,TimeAlign-Agg,20,7.93952,7.66016,8.4616,1.05606,1.29043,SCI_COMPARABLE_MAIN
SensorScope,TwoStage-Hajek,20,7.93086,7.65118,8.45282,1.03533,1.29099,SCI_COMPARABLE_MAIN
U-Air,Central-All,20,1.05557,0.957753,1.05762,,,SCI_COMPARABLE_MAIN
U-Air,Central-Delivered,20,1.17816,1.08002,1.18826,,,SCI_COMPARABLE_MAIN
U-Air,Debt-Cal,20,1.18932,1.08852,1.19797,1.0976,1.24,SCI_COMPARABLE_MAIN
U-Air,FedAsync-Window,20,1.18828,1.0875,1.19688,1.12229,1.26194,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,20,1.18824,1.08746,1.19684,1.12176,1.26213,SCI_COMPARABLE_MAIN
U-Air,Inst-Cal,20,1.19112,1.09031,1.19987,1.09241,1.23342,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,20,1.18824,1.08746,1.19684,1.12176,1.26213,SCI_COMPARABLE_MAIN
U-Air,RAVEN-MCS,20,1.19111,1.0903,1.19986,1.09236,1.23339,SCI_COMPARABLE_MAIN
U-Air,RAVEN-SimOracle,20,1.19145,1.09063,1.20021,1.09217,1.23419,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,20,1.18843,1.08766,1.19705,1.12178,1.26302,SCI_COMPARABLE_MAIN
U-Air,TwoStage-Hajek,20,1.21596,1.1148,1.22597,1.11961,1.24059,SCI_COMPARABLE_MAIN
