dataset,component,configuration,method,metric,family,full_RAVEN_mean,full_RAVEN_std,ablation_mean,ablation_std,absolute_change,relative_change,relative_change_percent,paired_mean_difference,paired_median_difference,paired_std_difference,n_pairs,effect_size,raw_p,Holm_p,holm_family,holm_significant,ci_low,ci_high,CI_status,direction,qualitative_magnitude,final_component_label,mechanical_status,ceiling_note,paper_safe_wording,sealed_r3_p_holm,sealed_r3_status,evidence_generation,wins_ablation_worse,ties,losses_ablation_better,wilcoxon_stat
SensorScope,Design,RAVEN-w/o-Design,raven_wo_design,Delta_group,primary,1.0139434505645495,0.030511363825525422,1.0264885963086554,0.027762954474254316,0.012545145744105724,0.012372628608746338,1.2372628608746339,0.012545145744105724,0.011177344803315337,0.006079630124437862,20,2.0634718703821937,1.9073486328125e-06,9.5367431640625e-06,sensorscope::Delta_group,True,0.009880630361791206,0.015209661126420242,FROZEN_NORMAL_APPROX_1.96,worsened,moderate_or_larger,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-dependent and dataset-dependent structural/predictive directions,Design shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,9.5367431640625e-06,ENDPOINT_TRADEOFF,parent,20,0,0,0.0
SensorScope,Design,RAVEN-w/o-Design,raven_wo_design,Delta_c_s,primary,1.2643796350651004,0.031233332739091846,1.27193231116606,0.030780104017390373,0.007552676100960021,0.005973424350963066,0.5973424350963066,0.007552676100960021,0.007038311418196108,0.003910486817958303,20,1.9313902469317963,1.9073486328125e-06,9.5367431640625e-06,sensorscope::Delta_c_s,True,0.0058388296883459855,0.009266522513574058,FROZEN_NORMAL_APPROX_1.96,worsened,small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-dependent and dataset-dependent structural/predictive directions,Design shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,9.5367431640625e-06,ENDPOINT_TRADEOFF,parent,20,0,0,0.0
SensorScope,Design,RAVEN-w/o-Design,raven_wo_design,RMSE_mu,secondary,7.937988848885785,0.047321480658961114,7.938409169665853,0.0468041575360299,0.00042032078006748463,5.2950537985118374e-05,0.0052950537985118375,0.00042032078006748463,0.001184940045861449,0.005501849580345312,20,0.07639626891455366,0.5958194732666016,1.0,sensorscope::RMSE_mu,False,-0.001990971114004154,0.0028316126741391233,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-dependent and dataset-dependent structural/predictive directions,Design shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.9047508239746094,ENDPOINT_TRADEOFF,parent,12,0,8,90.0
SensorScope,Design,RAVEN-w/o-Design,raven_wo_design,Tail_RMSE,secondary,8.460048931151645,0.04813472216619046,8.460488288216425,0.047608854865585665,0.0004393570647795997,5.1933158821552005e-05,0.005193315882155201,0.0004393570647795997,0.0012177135160174046,0.0056156779051379415,20,0.07823758274626462,0.5958194732666016,1.0,sensorscope::Tail_RMSE,False,-0.0020218222922042824,0.0029005364217634818,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-dependent and dataset-dependent structural/predictive directions,Design shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.9047508239746094,ENDPOINT_TRADEOFF,parent,12,0,8,90.0
SensorScope,Obs,RAVEN-w/o-Obs,raven_wo_obs,Delta_group,primary,1.0139434505645495,0.030511363825525422,1.014920210721803,0.0304384224077,0.0009767601572533923,0.0009633280403454523,0.09633280403454524,0.0009767601572533923,0.0007541512940003603,0.0015016077220437287,20,0.6504762481668617,0.01923370361328125,0.051544189453125,sensorscope::Delta_group,False,0.0003186515566158285,0.001634868757890956,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-specific tradeoff across structural metrics/datasets,Obs shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.0384674072265625,ENDPOINT_TRADEOFF,parent,14,0,6,43.0
SensorScope,Obs,RAVEN-w/o-Obs,raven_wo_obs,Delta_c_s,primary,1.2643796350651004,0.031233332739091846,1.2634913661281075,0.03134369432661047,-0.0008882689369927643,-0.0007025334103448782,-0.07025334103448781,-0.0008882689369927643,-0.0008945185466772143,0.0007593832523589915,20,-1.1697241600119503,6.29425048828125e-05,0.000125885009765625,sensorscope::Delta_c_s,True,-0.0012210833213496825,-0.0005554545526358461,FROZEN_NORMAL_APPROX_1.96,improved,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-specific tradeoff across structural metrics/datasets,Obs shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.000125885009765625,ENDPOINT_TRADEOFF,parent,2,0,18,9.0
SensorScope,Obs,RAVEN-w/o-Obs,raven_wo_obs,RMSE_mu,secondary,7.937988848885785,0.047321480658961114,7.938934246790717,0.04761681089578766,0.0009453979049329764,0.0001190979129512704,0.01190979129512704,0.0009453979049329764,0.0006127579210417622,0.0016983250608246588,20,0.5566648733746635,0.026641845703125,0.1065673828125,sensorscope::RMSE_mu,False,0.00020107412928947765,0.001689721680576475,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-specific tradeoff across structural metrics/datasets,Obs shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.1065673828125,ENDPOINT_TRADEOFF,parent,15,0,5,46.0
SensorScope,Obs,RAVEN-w/o-Obs,raven_wo_obs,Tail_RMSE,secondary,8.460048931151645,0.04813472216619046,8.461010611295842,0.04843531844056946,0.0009616801441985068,0.00011367311844451276,0.011367311844451276,0.0009616801441985068,0.0006233468383900487,0.0017348246834368911,20,0.5543385181108362,0.026641845703125,0.1065673828125,sensorscope::Tail_RMSE,False,0.0002013597036414562,0.0017220005847555574,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,ENDPOINT_TRADEOFF,ENDPOINT_TRADEOFF,endpoint-specific tradeoff across structural metrics/datasets,Obs shows mixed structural directions across endpoints/datasets (endpoint tradeoff).,0.1065673828125,ENDPOINT_TRADEOFF,parent,15,0,5,46.0
SensorScope,Use,RAVEN-w/o-Use,raven_wo_use,Delta_group,primary,1.0139434505645495,0.030511363825525422,1.0142075918141433,0.030114196214555106,0.00026414124959380224,0.0002605088572215452,0.026050885722154523,0.00026414124959380224,4.9435370675032786e-05,0.0014516041003204267,20,0.18196507541932114,0.7011814117431641,0.7011814117431641,sensorscope::Delta_group,False,-0.00037205229757404185,0.0009003347967616463,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,NO_CLEAR_EFFECT,NO_CLEAR_EFFECT,no Holm-significant paired effect in the Complete-aligned E4 family,Use shows no clear sealed E4 effect under the pre-registered Holm families.,0.7011814117431641,NO_CLEAR_EFFECT,parent,10,0,10,94.0
SensorScope,Use,RAVEN-w/o-Use,raven_wo_use,Delta_c_s,primary,1.2643796350651004,0.031233332739091846,1.2647100369374913,0.03133039673724066,0.00033040187239097296,0.00026131540182063295,0.026131540182063293,0.00033040187239097296,0.0001339764632652951,0.0016515792844018695,20,0.20005208076379466,0.34881019592285156,0.34881019592285156,sensorscope::Delta_c_s,False,-0.0003934346634390225,0.0010542384082209684,FROZEN_NORMAL_APPROX_1.96,worsened,quantitatively_small,NO_CLEAR_EFFECT,NO_CLEAR_EFFECT,no Holm-significant paired effect in the Complete-aligned E4 family,Use shows no clear sealed E4 effect under the pre-registered Holm families.,0.34881019592285156,NO_CLEAR_EFFECT,parent,12,0,8,79.0
