dataset,configuration,n,generation,Delta_group_mean,Delta_group_std,Delta_c_s_mean,Delta_c_s_std,RMSE_mu_mean,RMSE_mu_std,Tail_RMSE_mean,Tail_RMSE_std
SensorScope,RAVEN-MCS,20,E3,1.0139434505645495,0.030511363825525422,1.2643796350651004,0.031233332739091846,7.937988848885785,0.047321480658961114,8.460048931151645,0.04813472216619046
SensorScope,RAVEN-w/o-Design,20,0,1.0264885963086554,0.027762954474254316,1.27193231116606,0.030780104017390373,7.938409169665853,0.0468041575360299,8.460488288216425,0.047608854865585665
SensorScope,RAVEN-w/o-Obs,20,0,1.014920210721803,0.0304384224077,1.2634913661281075,0.03134369432661047,7.938934246790717,0.04761681089578766,8.461010611295842,0.04843531844056946
SensorScope,RAVEN-w/o-Use,20,0,1.0142075918141433,0.030114196214555106,1.2647100369374913,0.03133039673724066,7.938980085650721,0.04702281459031582,8.461056825207361,0.04782990228598731
SensorScope,RAVEN-w/o-Inst,20,2,1.011303154637028,0.03196293608056683,1.2683019852715782,0.03195693326863993,7.937849471360687,0.04844184282970895,8.459898746309266,0.049271069931107345
SensorScope,RAVEN-w/o-Debt,20,0,1.0140861546702031,0.030489009539763905,1.2644305075263724,0.031231085692788343,7.937990568776231,0.04729076655545994,8.460050536431167,0.04810381017824025
U-Air,RAVEN-MCS,20,E3,1.0923619248495164,0.047871619420257486,1.2333897298230982,0.03203872694061907,1.191113924600986,0.06585679185170427,1.1998575601072905,0.06966188162717825
U-Air,RAVEN-w/o-Design,20,0,1.0165152111017324,0.04577946085401312,1.2949338429848216,0.029296924579830467,1.1130591116704196,0.0637992201809118,1.1173644421854962,0.06809352395820588
U-Air,RAVEN-w/o-Obs,20,0,1.0937064346142986,0.0479145179763686,1.2336610564618693,0.03199572490236709,1.190998152727363,0.06573842651562681,1.1997348279527853,0.06954360346791365
U-Air,RAVEN-w/o-Use,20,0,1.0925126044215485,0.04751390978878696,1.2332224758660086,0.031909326106702836,1.1913994783294768,0.06560164368919683,1.2001601453341628,0.06938985940040265
U-Air,RAVEN-w/o-Inst,20,2,1.0913848418803358,0.04833911449496886,1.231627726288741,0.03212581778670195,1.1926705170050704,0.06609935042493417,1.2014938706432203,0.0698932411131947
U-Air,RAVEN-w/o-Debt,20,0,1.092408966270304,0.047857608528023246,1.2334192034996476,0.03203050433299592,1.1911226101058785,0.06585862728195425,1.1998668617985018,0.06966368498105599
