axis,key,opportunity_count
client,vehicle::100,787
client,vehicle::10000,339
client,vehicle::10001,451
client,vehicle::10003,296
client,vehicle::10005,371
client,vehicle::10006,392
client,vehicle::10009,534
client,vehicle::1001,566
client,vehicle::10013,206
client,vehicle::10014,270
client,vehicle::10015,368
client,vehicle::10016,355
client,vehicle::10017,357
client,vehicle::10018,446
client,vehicle::10019,207
client,vehicle::10020,145
client,vehicle::10022,398
client,vehicle::10025,329
client,vehicle::10026,573
client,vehicle::10027,208
client,vehicle::10029,431
client,vehicle::10031,303
client,vehicle::10033,326
client,vehicle::10034,255
client,vehicle::10035,370
client,vehicle::10036,272
client,vehicle::10040,372
client,vehicle::10042,403
client,vehicle::10047,544
client,vehicle::10048,654
client,vehicle::1005,213
client,vehicle::10051,295
client,vehicle::10053,486
client,vehicle::10054,120
client,vehicle::10056,6
client,vehicle::10057,10
client,vehicle::10060,716
client,vehicle::10061,482
client,vehicle::10062,519
client,vehicle::10066,558
client,vehicle::10068,308
client,vehicle::10069,706
client,vehicle::10072,372
client,vehicle::10074,118
client,vehicle::10075,268
client,vehicle::10077,424
client,vehicle::10078,8
client,vehicle::10079,553
client,vehicle::10080,130
client,vehicle::10084,334
client,vehicle::10086,759
client,vehicle::10088,248
client,vehicle::10089,363
client,vehicle::1009,344
client,vehicle::10090,604
client,vehicle::10095,214
client,vehicle::10097,311
client,vehicle::10098,373
client,vehicle::10099,300
client,vehicle::1010,346
client,vehicle::10100,444
client,vehicle::10101,392
client,vehicle::10103,206
client,vehicle::10105,434
client,vehicle::10106,337
client,vehicle::10108,535
client,vehicle::10110,138
client,vehicle::10111,600
client,vehicle::10112,631
client,vehicle::10116,173
client,vehicle::10117,996
client,vehicle::10118,332
client,vehicle::10120,102
client,vehicle::10121,313
client,vehicle::10122,338
client,vehicle::10125,746
client,vehicle::10127,483
client,vehicle::10128,343
client,vehicle::10132,411
client,vehicle::10135,184
client,vehicle::10137,451
client,vehicle::10139,632
client,vehicle::10140,339
client,vehicle::10141,633
client,vehicle::10142,175
client,vehicle::10143,235
client,vehicle::10146,527
client,vehicle::10147,471
client,vehicle::10148,356
client,vehicle::1015,350
client,vehicle::10150,508
client,vehicle::10151,508
client,vehicle::10153,141
client,vehicle::10154,549
client,vehicle::10156,466
client,vehicle::10157,525
client,vehicle::1016,455
client,vehicle::10160,581
client,vehicle::10161,600
client,vehicle::10162,117
client,vehicle::10163,342
