dataset,method,seed,Delta_group,Delta_group_status,Delta_c_s,Delta_c_s_status,comparison_class
SensorScope,FedAsync-Window,30001,1.0433035593011954,VALID,1.2420794874277128,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30002,1.0440164472062596,VALID,1.2659584399299082,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30003,1.0514495727748754,VALID,1.2785698954324782,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30004,1.0899071552569772,VALID,1.296646171122331,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30005,1.0478669563284233,VALID,1.3080497593472642,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30006,1.036976842463394,VALID,1.260226489789812,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30007,1.0633340324292169,VALID,1.2651487959177363,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30008,0.9852397136268024,VALID,1.25675159469899,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30009,1.0343399148064936,VALID,1.255223667817963,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30010,1.07225974844612,VALID,1.3534199154426814,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30011,1.0855996529796206,VALID,1.3204383662119974,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30012,1.0345577490860136,VALID,1.2882836287135713,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30013,1.0638544011966682,VALID,1.2891792545990888,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30014,1.079306375073012,VALID,1.3105411533509763,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30015,1.0531705444314816,VALID,1.2859267860568988,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30016,1.034184311799751,VALID,1.3124048959852082,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30017,1.048334145321128,VALID,1.2721350247517575,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30018,1.0988483893090726,VALID,1.3138071677215777,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30019,1.0368186406237498,VALID,1.2846132808744706,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAsync-Window,30020,1.113461107109036,VALID,1.352349536061174,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAvg-Window,30001,1.0433329926179935,VALID,1.2422979138143753,VALID,SCI_COMPARABLE_MAIN
SensorScope,FedAvg-Window,30002,1.0423759073199488,VALID,1.2669848858624366,VALID,SCI_COMPARABLE_MAIN
