dataset,component,metric,relative_change_percent,paired_mean_difference,Holm_p,holm_significant,direction,final_component_label,qualitative_magnitude,evidence_generation
SensorScope,Design,Delta_group,1.237262860874634,0.0125451457441057,9.5367431640625e-06,True,worsened,ENDPOINT_TRADEOFF,moderate_or_larger,parent
SensorScope,Design,Delta_c_s,0.5973424350963066,0.00755267610096,9.5367431640625e-06,True,worsened,ENDPOINT_TRADEOFF,small,parent
SensorScope,Design,RMSE_mu,0.0052950537985118,0.0004203207800674,1.0,False,worsened,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Design,Tail_RMSE,0.0051933158821552,0.0004393570647795,1.0,False,worsened,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Obs,Delta_group,0.0963328040345452,0.0009767601572533,0.051544189453125,False,worsened,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Obs,Delta_c_s,-0.0702533410344878,-0.0008882689369927,0.0001258850097656,True,improved,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Obs,RMSE_mu,0.011909791295127,0.0009453979049329,0.1065673828125,False,worsened,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Obs,Tail_RMSE,0.0113673118444512,0.0009616801441985,0.1065673828125,False,worsened,ENDPOINT_TRADEOFF,quantitatively_small,parent
SensorScope,Use,Delta_group,0.0260508857221545,0.0002641412495938,0.7011814117431641,False,worsened,NO_CLEAR_EFFECT,quantitatively_small,parent
SensorScope,Use,Delta_c_s,0.0261315401820632,0.0003304018723909,0.3488101959228515,False,worsened,NO_CLEAR_EFFECT,quantitatively_small,parent
SensorScope,Use,RMSE_mu,0.0124872531796973,0.0009912367649365,0.0603961944580078,False,worsened,NO_CLEAR_EFFECT,quantitatively_small,parent
SensorScope,Use,Tail_RMSE,0.0119135724145144,0.0010078940557148,0.0603961944580078,False,worsened,NO_CLEAR_EFFECT,quantitatively_small,parent
SensorScope,Inst,Delta_group,-0.2603987358517375,-0.0026402959275217,0.051544189453125,False,improved,ENDPOINT_TRADEOFF,small,2
SensorScope,Inst,Delta_c_s,0.310219343755552,0.0039223502064779,9.5367431640625e-06,True,worsened,ENDPOINT_TRADEOFF,small,2
