opportunity_stratum,row_count,observed_count,exceed_count,exceed_rate,p_floor_share,opportunity_floor_share,mean_zeta,p95_zeta,mean_raw_weight,p95_raw_weight
s103::block0::weekday,36,5,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
s103::block0::weekend,12,0,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,15.570905622937149,71.0936865900804
s103::block1::weekday,32,6,4,0.125,0.0,0.0,1.672362959365491,4.893211811648906,8.855941899980493,25.73103471621167
s103::block1::weekend,12,2,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,18.836824583299205,89.36165771031573
s103::block2::weekday,34,7,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.694112081068787,9.651779219289555
s103::block2::weekend,12,1,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,22.200034604264093,108.82885641829384
s103::block3::weekday,36,4,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.51853044401974,7.9047421867088525
s103::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,25.53498893795218,128.34527862694125
s104::block0::weekday,35,7,0,0.0,0.0,0.0,1.4579267261080997,3.975327279830177,5.882530480860382,14.3587752251541
s104::block0::weekend,12,2,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,12.659687028086829,57.839225341582456
s104::block1::weekday,30,4,2,0.06666666666666667,0.0,0.0,1.724441279768453,4.999205820597955,7.33437151763733,20.9975191330123
s104::block1::weekend,12,2,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,15.221794381397755,72.2367765099418
s104::block2::weekday,34,6,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,3.833732024604414,7.77542854294685
s104::block2::weekend,12,4,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,17.866599334071932,87.54667198629359
s104::block3::weekday,34,6,0,0.0,0.0,0.0,0.6008658931715447,1.2965491292950164,2.670755682975765,5.714594638541781
s104::block3::weekend,10,2,2,0.2,0.0,0.0,5.421960833023194,24.08780102853942,23.32166048078316,103.46460761385032
s106::block0::weekday,35,10,2,0.05714285714285714,0.0,0.0,1.4559462184537004,3.975327279830177,6.833026527942967,16.43254566021557
s106::block0::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,14.741371431500424,67.31746892784925
s106::block1::weekday,33,9,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.235986753093655,24.06106327219309
s106::block1::weekend,12,4,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,17.804910121941827,84.47386120481897
s106::block2::weekday,32,6,0,0.0,0.0,0.0,0.8560123233749724,1.9135297215741,4.408789727002268,9.796557560235263
s106::block2::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,20.961212222239276,102.74368893419918
s106::block3::weekday,36,8,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.3269216540422306,7.499453573927021
s106::block3::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,24.121913248938483,121.23613262742249
s107::block0::weekday,35,9,2,0.05714285714285714,0.0,0.0,1.4559462184537004,3.975327279830177,6.833026527942967,16.43254566021557
s107::block0::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,14.741371431500424,67.31746892784925
s107::block1::weekday,33,6,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.235986753093655,24.06106327219309
s107::block1::weekend,12,0,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,17.804910121941827,84.47386120481897
s107::block2::weekday,32,9,0,0.0,0.0,0.0,0.8560123233749724,1.9135297215741,4.408789727002268,9.796557560235263
s107::block2::weekend,12,1,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,20.961212222239276,102.74368893419918
s107::block3::weekday,36,8,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.3269216540422306,7.499453573927021
s107::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,24.121913248938483,121.23613262742249
s11::block0::weekday,36,7,0,0.0,0.0,0.0,1.4377240775085138,3.948070068546417,6.062352673922791,14.617866122670504
s11::block0::weekend,10,2,2,0.2,0.0,0.0,3.3773115903080333,14.036288293786695,14.656203623271626,60.54191807344664
s11::block1::weekday,30,7,4,0.13333333333333333,0.0,0.0,1.6940206099340749,4.999205820597955,7.565071685462304,22.050070445035942
s11::block1::weekend,10,1,2,0.2,0.0,0.0,4.099342750058193,16.886386602293666,18.41237222221376,75.72127494063417
s11::block2::weekday,34,8,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.00842294322684,8.156793325036471
s11::block2::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,18.746710477220173,91.86810932046284
s11::block3::weekday,35,6,0,0.0,0.0,0.0,0.6411663953693518,1.4059126035915517,3.0271980404245125,6.902152879575778
s11::block3::weekend,8,1,2,0.25,0.0,0.0,6.718805515009834,24.08780102853942,30.284490583156682,108.52082861138878
s12::block0::weekday,36,12,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
s12::block0::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,15.570905622937149,71.0936865900804
s12::block1::weekday,33,9,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.72359844865529,25.498506923793865
s12::block1::weekend,12,1,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,18.836824583299205,89.36165771031573
s12::block2::weekday,34,9,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.694112081068787,9.651779219289555
s12::block2::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,22.200034604264093,108.82885641829384
s12::block3::weekday,36,8,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.51853044401974,7.9047421867088525
s12::block3::weekend,12,1,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,25.53498893795218,128.34527862694125
s13::block0::weekday,36,11,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
s13::block0::weekend,12,1,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,15.570905622937149,71.0936865900804
s13::block1::weekday,33,5,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.72359844865529,25.498506923793865
s13::block1::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,18.836824583299205,89.36165771031573
s13::block2::weekday,34,11,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.694112081068787,9.651779219289555
s13::block2::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,22.200034604264093,108.82885641829384
s13::block3::weekday,36,6,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.51853044401974,7.9047421867088525
s13::block3::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,25.53498893795218,128.34527862694125
s14::block0::weekday,35,12,2,0.05714285714285714,0.0,0.0,1.4559462184537004,3.975327279830177,6.833026527942967,16.43254566021557
s14::block0::weekend,12,1,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,14.741371431500424,67.31746892784925
s14::block1::weekday,33,6,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.235986753093655,24.06106327219309
s14::block1::weekend,12,1,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,17.804910121941827,84.47386120481897
s14::block2::weekday,32,5,0,0.0,0.0,0.0,0.8560123233749724,1.9135297215741,4.408789727002268,9.796557560235263
s14::block2::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,20.961212222239276,102.74368893419918
s14::block3::weekday,36,6,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.3269216540422306,7.499453573927021
s14::block3::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,24.121913248938483,121.23613262742249
s17::block0::weekday,36,9,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
s17::block0::weekend,12,2,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,15.570905622937149,71.0936865900804
s17::block1::weekday,32,1,4,0.125,0.0,0.0,1.672362959365491,4.893211811648906,8.855941899980493,25.73103471621167
s17::block1::weekend,12,4,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,18.836824583299205,89.36165771031573
s17::block2::weekday,34,7,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.694112081068787,9.651779219289555
s17::block2::weekend,12,0,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,22.200034604264093,108.82885641829384
s17::block3::weekday,36,6,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.51853044401974,7.9047421867088525
s17::block3::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,25.53498893795218,128.34527862694125
s18::block0::weekday,27,7,0,0.0,0.0,0.0,1.3099824691800255,3.662836464277246,5.1222269133981015,14.90258108751535
s18::block0::weekend,8,2,2,0.25,0.0,0.0,4.227527630138553,14.036288293786695,16.568814714961373,54.7995043854068
s18::block1::weekday,26,7,2,0.07692307692307693,0.0,0.0,1.5327531107848098,4.623083477800777,6.186977432355116,18.06157235170779
s18::block1::weekend,10,5,2,0.2,0.0,0.0,4.07105752446577,16.886386602293666,16.489087078046488,68.32282898601407
s18::block2::weekday,30,8,0,0.0,0.0,0.0,0.8627871576820385,2.046628250649305,3.65548586201159,8.445566466101276
s18::block2::weekend,10,1,2,0.2,0.0,0.0,4.755199595710005,20.210600987489144,19.45831701264921,82.69876673005069
s18::block3::weekday,29,7,0,0.0,0.0,0.0,0.5366073631948379,0.9081028493414547,2.2719341590903674,3.809115191632576
s18::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,19.460546343562182,97.78960147079947
s19::block0::weekday,35,8,2,0.05714285714285714,0.0,0.0,1.4505021975977748,3.975327279830177,6.373459002784422,15.488807350274408
s19::block0::weekend,12,4,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,13.790706163198058,62.98930488195091
s19::block1::weekday,28,5,2,0.07142857142857142,0.0,0.0,1.5260705127538514,4.2818453245736094,7.091373323319907,19.520518689026794
s19::block1::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,16.62404854292232,78.88006509014104
s19::block2::weekday,32,11,0,0.0,0.0,0.0,0.8786192364732176,1.9135297215741,4.260285838736318,9.137895725266175
s19::block2::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,19.54531772643382,95.78978699970507
s19::block3::weekday,36,6,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.1075591659105535,7.03278702850576
s19::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,22.50602537280184,113.10740673867795
s23::block0::weekday,36,7,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
s23::block0::weekend,12,0,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,15.570905622937149,71.0936865900804
s23::block1::weekday,32,5,4,0.125,0.0,0.0,1.672362959365491,4.893211811648906,8.855941899980493,25.73103471621167
s23::block1::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,18.836824583299205,89.36165771031573
s23::block2::weekday,34,8,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.694112081068787,9.651779219289555
s23::block2::weekend,12,2,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,22.200034604264093,108.82885641829384
s23::block3::weekday,36,8,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.51853044401974,7.9047421867088525
s23::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,25.53498893795218,128.34527862694125
s24::block0::weekday,35,10,2,0.05714285714285714,0.0,0.0,1.4559462184537004,3.975327279830177,6.833026527942967,16.43254566021557
s24::block0::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,14.741371431500424,67.31746892784925
s24::block1::weekday,33,5,4,0.12121212121212122,0.0,0.0,1.651963134470597,4.84021480717438,8.235986753093655,24.06106327219309
s24::block1::weekend,12,2,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,17.804910121941827,84.47386120481897
s24::block2::weekday,32,5,0,0.0,0.0,0.0,0.8560123233749724,1.9135297215741,4.408789727002268,9.796557560235263
s24::block2::weekend,12,0,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,20.961212222239276,102.74368893419918
s24::block3::weekday,36,5,0,0.0,0.0,0.0,0.6337281624033542,1.370324959550314,3.3269216540422306,7.499453573927021
s24::block3::weekend,12,3,2,0.16666666666666666,0.0,0.0,4.78774663713298,24.08780102853942,24.121913248938483,121.23613262742249
s25::block0::weekday,25,10,0,0.0,0.0,0.0,1.1752508474201917,1.96852771529635,3.9490424895302714,6.857571345938195
s25::block0::weekend,12,3,2,0.16666666666666666,0.0,0.0,3.055720752819335,14.036288293786695,10.292367281539041,47.056380760472614
s25::block1::weekday,16,5,0,0.0,0.0,0.0,1.2316811410413324,2.0637973285970577,4.285213029706035,7.22218807908127
s25::block1::weekend,12,4,2,0.16666666666666666,0.0,0.0,3.552303772104887,16.886386602293666,12.297535197611845,58.379827204999756
s25::block2::weekday,20,6,0,0.0,0.0,0.0,0.7718143936492339,1.3145863407356662,2.9016376064750857,5.161290322580645
s25::block2::weekend,10,3,2,0.2,0.0,0.0,4.636688273960882,20.210600987489144,16.1623681949312,70.41573731488845
s25::block3::weekday,13,6,0,0.0,0.0,0.0,0.44916311592097197,0.6271546012397675,1.603219623974181,2.2786626934362055
s25::block3::weekend,10,5,2,0.2,0.0,0.0,5.643946027115165,24.08780102853942,19.561645058513186,83.39607148396765
s26::block0::weekday,36,15,0,0.0,0.0,0.0,1.4377240775085138,3.948070068546417,6.062352673922791,14.617866122670504
s26::block0::weekend,10,1,2,0.2,0.0,0.0,3.3773115903080333,14.036288293786695,14.656203623271626,60.54191807344664
s26::block1::weekday,30,4,4,0.13333333333333333,0.0,0.0,1.6940206099340749,4.999205820597955,7.565071685462304,22.050070445035942
s26::block1::weekend,10,2,2,0.2,0.0,0.0,4.099342750058193,16.886386602293666,18.41237222221376,75.72127494063417
s26::block2::weekday,34,7,0,0.0,0.0,0.0,0.860321739222876,1.7804311924988905,4.00842294322684,8.156793325036471
s26::block2::weekend,12,4,2,0.16666666666666666,0.0,0.0,4.125160156200072,20.210600987489144,18.746710477220173,91.86810932046284
s26::block3::weekday,35,16,0,0.0,0.0,0.0,0.6411663953693518,1.4059126035915517,3.0271980404245125,6.902152879575778
s26::block3::weekend,8,2,2,0.25,0.0,0.0,6.718805515009834,24.08780102853942,30.284490583156682,108.52082861138878
s30::block0::weekday,36,9,2,0.05555555555555555,0.0,0.0,1.4377240775085138,3.948070068546417,7.113349744028438,16.828750614622177
