candidate,seed,CAL-G1,CAL-G2,CAL-G3,CAL-G4,CAL-G5,CAL-G6,CAL-G7,CAL-G8,CAL-G9,CAL-G10,all_gates_pass
C0,27001,False,True,True,True,True,True,True,True,True,True,False
C0,27002,False,True,True,True,True,True,True,True,True,True,False
C0,27003,False,True,True,True,True,True,True,True,True,True,False
C0,27004,False,True,True,True,True,True,True,True,True,True,False
C0,27005,False,True,True,True,True,True,True,True,True,True,False
C1,27001,True,True,True,True,True,True,True,True,True,True,True
C1,27002,True,True,True,True,True,True,True,True,True,True,True
C1,27003,True,True,True,True,True,True,True,True,True,True,True
C1,27004,True,True,True,True,True,True,True,True,True,True,True
C1,27005,True,True,True,True,True,True,True,True,True,True,True
C2,27001,True,True,True,True,True,True,True,True,True,True,True
C2,27002,True,True,True,True,True,True,True,True,True,True,True
C2,27003,True,True,True,True,True,True,True,True,True,True,True
C2,27004,True,True,True,True,True,True,True,True,True,True,True
C2,27005,True,True,True,True,True,True,True,True,True,True,True
C3,27001,True,True,True,True,True,True,True,True,True,True,True
C3,27002,True,True,True,True,True,True,True,True,True,True,True
C3,27003,True,True,True,True,True,True,True,True,True,True,True
C3,27004,True,True,True,True,True,True,True,True,True,True,True
C3,27005,True,True,True,True,True,True,True,True,True,True,True
