dataset,seed,method,window_id,A_r,B_r,U_r,m_by_client
sensorscope,30001,raven,0,"[""client-000"", ""client-001"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","{""client-000"": 3.9840148547928433, ""client-001"": 6.519297035115562, ""client-003"": 4.346198023410374, ""client-004"": 3.6218316861753124, ""client-005"": 1.448732674470125, ""client-006"": 5.070564360645436, ""client-007"": 1.448732674470125}"
sensorscope,30001,raven,1,"[""client-004"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-007""]","[""client-004"", ""client-007""]","{""client-000"": 3.591351325462765, ""client-001"": 10.32195501342783, ""client-003"": 3.4406516711426103, ""client-004"": 3.264864841329787, ""client-007"": 2.2937677807617405}"
sensorscope,30001,raven,2,"[""client-000"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-006"", ""client-007""]","{""client-000"": 14.805516594439258, ""client-002"": 7.402758297219629, ""client-004"": 6.729780270199663, ""client-005"": 1.6755520850629484, ""client-006"": 3.909621531813545, ""client-007"": 4.468138893501195}"
sensorscope,30001,raven,3,"[""client-000"", ""client-003"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-006""]","{""client-000"": 2.5300813002235256, ""client-001"": 5.2899033723133275, ""client-002"": 14.729916533062786, ""client-003"": 10.676579309835066, ""client-005"": 7.141777713000141, ""client-006"": 4.114369289577032, ""client-007"": 5.356333284750105}"
sensorscope,30001,raven,4,"[""client-000"", ""client-001"", ""client-005""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-005""]","{""client-000"": 6.764134980155081, ""client-001"": 2.4061842108967646, ""client-003"": 4.9193708946582415, ""client-004"": 4.099475745548535, ""client-005"": 0.4099475745548535, ""client-007"": 1.639790298219414}"
sensorscope,30001,raven,5,"[""client-003"", ""client-004""]","[""client-000"", ""client-003"", ""client-004"", ""client-007""]","[""client-003"", ""client-004""]","{""client-000"": 2.885115821691129, ""client-003"": 1.573699539104252, ""client-004"": 1.9478024323427594, ""client-007"": 0.7791209729371038}"
sensorscope,30001,raven,6,"[""client-002"", ""client-004""]","[""client-000"", ""client-002"", ""client-004"", ""client-006"", ""client-007""]","[""client-002"", ""client-004""]","{""client-000"": 2.2228748825763844, ""client-002"": 8.891499530305538, ""client-004"": 5.782439710833177, ""client-006"": 4.243670230373097, ""client-007"": 1.6166362782373709}"
sensorscope,30001,raven,7,"[""client-000"", ""client-002"", ""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004""]","{""client-000"": 3.273579523794741, ""client-001"": 10.713532986964609, ""client-002"": 6.547159047589482, ""client-003"": 1.785588831160768, ""client-004"": 2.975981385267947, ""client-006"": 4.1663739393751245, ""client-007"": 6.454289317999754}"
sensorscope,30001,raven,8,"[""client-001"", ""client-002"", ""client-003"", ""client-006""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002"", ""client-003"", ""client-006""]","{""client-001"": 15.162382135723503, ""client-002"": 18.531800388106504, ""client-003"": 3.3694182523830007, ""client-004"": 1.9279331509555717, ""client-005"": 0.7711732603822288, ""client-006"": 2.6991064113378, ""client-007"": 6.046755421187352}"
sensorscope,30001,raven,9,"[""client-002"", ""client-004""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-002"", ""client-004""]","{""client-001"": 19.935299002724747, ""client-002"": 6.14775646732978, ""client-003"": 3.195821027087118, ""client-004"": 0.9314782526257244, ""client-005"": 4.4300664450499445, ""client-007"": 5.6206116871247325}"
