dataset,seed,method,RMSE_mu,MAE_mu,WorstGroupRMSE,Delta_group,Delta_cs,Gate_ON_rate,Gate_OFF_rate,false_enable_rate,false_disable_rate,active_set_mismatch_rate,P_mismatch_given_ON,P_mismatch_given_OFF
sensorscope,30001,raven,7.913791224192832,7.633159593576259,9.040068242584143,0.9984597031193984,1.214493695326521,1.0,0.0,0.0,,0.0,0.0,
sensorscope,30001,raven_wo_design,7.916851248042733,7.636324188902455,9.043428650708783,1.0062243673187172,1.2257944112551058,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30001,raven_sag,7.916851248042733,7.636324188902455,9.043428650708783,1.0062243673187172,1.2257944112551058,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30002,raven,7.8711066009172805,7.589531320023162,8.976826229810595,1.0163090121121825,1.2431424371461768,1.0,0.0,0.0,,0.0,0.0,
sensorscope,30002,raven_wo_design,7.87148574334562,7.589926416499486,8.977398707429154,1.0234103594504855,1.2462467871947183,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30002,raven_sag,7.87148574334562,7.589926416499486,8.977398707429154,1.0234103594504855,1.2462467871947183,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30003,raven,7.912752449814846,7.632267456724252,9.028858534326918,0.987986650220171,1.2275379242810647,1.0,0.0,0.0,,0.0,0.0,
sensorscope,30003,raven_wo_design,7.911174343767945,7.630611621078229,9.029256849365803,1.0156828005048824,1.2419008539641516,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30003,raven_sag,7.911174343767945,7.630611621078229,9.029256849365803,1.0156828005048824,1.2419008539641516,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30004,raven,7.819513648080064,7.535523621900127,8.918153500218446,1.0422365849976831,1.277735105290421,1.0,0.0,0.0,,0.0,0.0,
sensorscope,30004,raven_wo_design,7.82643901628799,7.542701737646533,8.924738498744471,1.052779337275842,1.2782773161712149,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30004,raven_sag,7.82643901628799,7.542701737646533,8.924738498744471,1.052779337275842,1.2782773161712149,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30005,raven,8.019002765163714,7.7418759712948795,9.13535651112002,1.0089789888358265,1.2816181819842343,1.0,0.0,0.0,,0.0,0.0,
sensorscope,30005,raven_wo_design,8.015022251482403,7.737748713470673,9.131362856275684,1.029688088353143,1.2917018202282766,0.0,1.0,0.0,1.0,0.0,,0.0
sensorscope,30005,raven_sag,8.015022251482403,7.737748713470673,9.131362856275684,1.029688088353143,1.2917018202282766,0.0,1.0,0.0,1.0,0.0,,0.0
uair,30001,raven,1.201716880706229,1.1001194907714644,1.7397753027137208,1.0832400542605098,1.210200108193248,1.0,0.0,0.5375,,0.5375,0.5375,
uair,30001,raven_wo_design,1.1607430909655934,1.0595516900324329,1.6887566239051073,1.0198421730673761,1.3070991212626155,0.0,1.0,0.0,0.4625,0.5375,,0.5375
uair,30001,raven_sag,1.1607430909655934,1.0595516900324329,1.6887566239051073,1.0198421730673761,1.3070991212626155,0.0,1.0,0.0,0.4625,0.5375,,0.5375
uair,30002,raven,1.1645943072006388,1.0638334999203205,1.6702038257810727,1.1419144762116376,1.280814468536711,1.0,0.0,0.4875,,0.4875,0.4875,
uair,30002,raven_wo_design,1.0530689998749978,0.9537619808509558,1.534256402874066,1.0293616477157368,1.3230857208272542,0.0,1.0,0.0,0.5125,0.4875,,0.4875
uair,30002,raven_sag,1.0530689998749978,0.9537619808509558,1.534256402874066,1.0293616477157368,1.3230857208272542,0.0,1.0,0.0,0.5125,0.4875,,0.4875
uair,30003,raven,1.1619873834476435,1.0625823207068312,1.632917161802335,1.0645715834318952,1.2131507627760136,1.0,0.0,0.525,,0.525,0.525,
uair,30003,raven_wo_design,1.05505496453897,0.9564661832089012,1.5151403779981092,0.9771940405252671,1.2779892503254864,0.0,1.0,0.0,0.475,0.525,,0.525
uair,30003,raven_sag,1.05505496453897,0.9564661832089012,1.5151403779981092,0.9771940405252671,1.2779892503254864,0.0,1.0,0.0,0.475,0.525,,0.525
uair,30004,raven,1.2428815046060808,1.140739561265951,1.7587658013649465,1.1157974352873121,1.2528027828397736,1.0,0.0,0.4625,,0.4625,0.4625,
uair,30004,raven_wo_design,1.1997977207450772,1.0983562356084557,1.7095042839490198,1.0766219700428563,1.323473464971319,0.0,1.0,0.0,0.5375,0.4625,,0.4625
uair,30004,raven_sag,1.1997977207450772,1.0983562356084557,1.7095042839490198,1.0766219700428563,1.323473464971319,0.0,1.0,0.0,0.5375,0.4625,,0.4625
uair,30005,raven,1.0405807764916069,0.9414794216329688,1.5038986063676707,1.103449537936327,1.2553000139173718,1.0,0.0,0.5875,,0.5875,0.5875,
uair,30005,raven_wo_design,0.9675058320373014,0.8691120941829735,1.4604291631249897,1.0595824848631628,1.3083139432322362,0.0,1.0,0.0,0.4125,0.5875,,0.5875
uair,30005,raven_sag,0.9675058320373014,0.8691120941829735,1.4604291631249897,1.0595824848631628,1.3083139432322362,0.0,1.0,0.0,0.4125,0.5875,,0.5875
